mission,mega,scenario,mcc_group,seed_source,needs_review
Эмоции → Романтический вечер,Эмоции,Романтический вечер,Продуктовые магазины,heuristic,True
Эмоции → Первое свидание дома,Эмоции,Первое свидание дома,Продуктовые магазины,heuristic,True
Дом и быт → Генеральная уборка,Дом и быт,Генеральная уборка,Товары для дома,heuristic,False
Дети → Игры дома,Дети,Игры дома,Игрушки,manual_override,False
Готовлю дома → Ужин из рыбы,Готовлю дома,Ужин из рыбы,Продуктовые магазины,mega_homogeneous,False
Дети → Ребенок заболел,Дети,Ребенок заболел,Аптеки,manual_override,False
Кухня → Пополнение расходников кухни,Кухня,Пополнение расходников кухни,Товары для дома,manual_override,False
Эмоции → Антистресс вечер,Эмоции,Антистресс вечер,Косметика,manual_override,False
Здоровье → Температура у ребенка,Здоровье,Температура у ребенка,Аптеки,mega_homogeneous,False
Дача → Работы в саду,Дача,Работы в саду,Товары для дома,heuristic,True
Здоровье → Простуда взрослого,Здоровье,Простуда взрослого,Аптеки,mega_homogeneous,False
Готовлю дома → Салат-стол,Готовлю дома,Салат-стол,Продуктовые магазины,mega_homogeneous,False
Подарки → Продуктовый подарок,Подарки,Продуктовый подарок,Продуктовые магазины,manual_override,False
Готовлю дома → Мясной ужин / стейк дома,Готовлю дома,Мясной ужин / стейк дома,Продуктовые магазины,mega_homogeneous,False
Кухня → Обустройство кухни с нуля,Кухня,Обустройство кухни с нуля,Бытовая техника и электроника,manual_override,False
Гости и праздник → 14 февраля,Гости и праздник,14 февраля,Продуктовые магазины,mega_homogeneous,False
Эмоции → Годовщина отношений,Эмоции,Годовщина отношений,Продуктовые магазины,heuristic,True
Гости и праздник → 8 марта,Гости и праздник,8 марта,Продуктовые магазины,mega_homogeneous,False
Дети → На кружок,Дети,На кружок,Одежда детская,heuristic,True
Гости и праздник → Новогодняя ночь,Гости и праздник,Новогодняя ночь,Продуктовые магазины,mega_homogeneous,False
Малыши → Сбор сумки мамы,Малыши,Сбор сумки мамы,Товары для дома,heuristic,True
Срочно нужно сейчас → Нужен подарок сегодня,Срочно нужно сейчас,Нужен подарок сегодня,Продуктовые магазины,remap_from_marketplace,False
Дети → Ночевка у друзей,Дети,Ночевка у друзей,Игрушки,heuristic,True
Малыши → Гигиена малыша,Малыши,Гигиена малыша,Аптеки,manual_override,False
Красота → Домашний SPA,Красота,Домашний SPA,Косметика,mega_homogeneous,False
Подарки → Подарок в последний момент,Подарки,Подарок в последний момент,Продуктовые магазины,remap_from_marketplace,False
Питомцы → Поездка с питомцем,Питомцы,Поездка с питомцем,Зоомагазины,mega_homogeneous,False
Питомцы → Гигиена питомца,Питомцы,Гигиена питомца,Зоомагазины,mega_homogeneous,False
Питомцы → Игрушки питомца,Питомцы,Игрушки питомца,Зоомагазины,mega_homogeneous,False
Питомцы → Закончился корм,Питомцы,Закончился корм,Зоомагазины,mega_homogeneous,False
Питомцы → Лечение питомца,Питомцы,Лечение питомца,Зоомагазины,mega_homogeneous,False
Готовлю дома → Домашняя выпечка,Готовлю дома,Домашняя выпечка,Продуктовые магазины,mega_homogeneous,False
Дом и быт → Уборка после гостей,Дом и быт,Уборка после гостей,Товары для дома,heuristic,False
Гостиная → Атмосфера в гостиной,Гостиная,Атмосфера в гостиной,Товары для дома,manual_override,False
Подарки → Подарок учителю,Подарки,Подарок учителю,Канцтовары,remap_from_marketplace,False
Стирка → Стирка одежды,Стирка,Стирка одежды,Товары для дома,mega_homogeneous,False
Стирка → Удаление пятен / уход за одеждой,Стирка,Удаление пятен / уход за одеждой,Товары для дома,mega_homogeneous,False
Срочно нужно сейчас → Закончилась туалетная бумага,Срочно нужно сейчас,Закончилась туалетная бумага,Товары для дома,manual_override,False
Здоровье → Женская гигиена,Здоровье,Женская гигиена,Аптеки,mega_homogeneous,False
Красота → Перед работой,Красота,Перед работой,Косметика,mega_homogeneous,False
Питомцы → Новый котенок,Питомцы,Новый котенок,Зоомагазины,mega_homogeneous,False
Питомцы → Забота о кошке (запас на месяц),Питомцы,Забота о кошке (запас на месяц),Зоомагазины,mega_homogeneous,False
Дом и быт → Быстрая уборка,Дом и быт,Быстрая уборка,Товары для дома,heuristic,False
Красота → Перед отпуском,Красота,Перед отпуском,Косметика,mega_homogeneous,False
Красота → Перед свиданием,Красота,Перед свиданием,Косметика,mega_homogeneous,False
Дом и быт → После посудомойки,Дом и быт,После посудомойки,Товары для дома,heuristic,False
Подарки → Подарок мужчине,Подарки,Подарок мужчине,Бытовая техника и электроника,remap_from_marketplace,False
Гардероб → Гардероб женщины — низ и обувь,Гардероб,Гардероб женщины — низ и обувь,Одежда для взрослых,manual_override,False
Подарки → Подарок женщине,Подарки,Подарок женщине,Косметика,manual_override,False
Дом и быт → Уборка перед гостями,Дом и быт,Уборка перед гостями,Товары для дома,heuristic,False
Работа и учеба → Подготовка к школе / детскому саду,Работа и учеба,Подготовка к школе / детскому саду,Канцтовары,manual_override,False
Стирка → Регулярная стирка,Стирка,Регулярная стирка,Товары для дома,mega_homogeneous,False
Здоровье → Забота о своем здоровье,Здоровье,Забота о своем здоровье,Аптеки,mega_homogeneous,False
Подарки → Подарок коллеге,Подарки,Подарок коллеге,Продуктовые магазины,remap_from_marketplace,False
Дом и быт → Пополнение ванной комнаты,Дом и быт,Пополнение ванной комнаты,Товары для дома,heuristic,False
Подарки → Подарок ребенку,Подарки,Подарок ребенку,Игрушки,manual_override,False
Красота → Перед фотосессией,Красота,Перед фотосессией,Косметика,mega_homogeneous,False
Гардероб → Гардероб мужчины — низ и обувь,Гардероб,Гардероб мужчины — низ и обувь,Одежда для взрослых,manual_override,False
Красота → Ежедневный уход в душе,Красота,Ежедневный уход в душе,Косметика,mega_homogeneous,False
Ванная → Обустройство ванной с нуля,Ванная,Обустройство ванной с нуля,Товары для дома,manual_override,False
Здоровье → Пополнение аптечки,Здоровье,Пополнение аптечки,Аптеки,mega_homogeneous,False
Красота → Перед корпоративом,Красота,Перед корпоративом,Косметика,mega_homogeneous,False
Дом и быт → Мытье окон,Дом и быт,Мытье окон,Товары для дома,heuristic,False
Срочно нужно сейчас → Срочно нужна женская гигиена,Срочно нужно сейчас,Срочно нужна женская гигиена,Аптеки,manual_override,False
Ванная → Уход за собой в ванной,Ванная,Уход за собой в ванной,Косметика,manual_override,False
Гости и праздник → Крещенские купания,Гости и праздник,Крещенские купания,Продуктовые магазины,mega_homogeneous,False
Красота → Уход за волосами,Красота,Уход за волосами,Косметика,mega_homogeneous,False
Эмоции → Интимное настроение (18+),Эмоции,Интимное настроение (18+),Продуктовые магазины,heuristic,True
Гардероб → Гардероб мужчины — верх,Гардероб,Гардероб мужчины — верх,Одежда для взрослых,heuristic,True
Малыши → Расходники для малыша,Малыши,Расходники для малыша,Товары для дома,heuristic,True
Гардероб → Гардероб женщины — верх,Гардероб,Гардероб женщины — верх,Одежда для взрослых,heuristic,True
Срочно нужно сейчас → Срочно нужна зубная щетка,Срочно нужно сейчас,Срочно нужна зубная щетка,Аптеки,manual_override,False
Срочно нужно сейчас → Срочно нужны подгузники,Срочно нужно сейчас,Срочно нужны подгузники,Аптеки,manual_override,False
Подарки → Подарок родителям / бабушке,Подарки,Подарок родителям / бабушке,Товары для дома,remap_from_marketplace,False
Питомцы → Новый щенок,Питомцы,Новый щенок,Зоомагазины,mega_homogeneous,False
Срочно нужно сейчас → Закончились батарейки,Срочно нужно сейчас,Закончились батарейки,Товары для дома,manual_override,False
Детская → Обустройство детской,Детская,Обустройство детской,Мебель,manual_override,False
Питомцы → Забота о собаке (запас на месяц),Питомцы,Забота о собаке (запас на месяц),Зоомагазины,mega_homogeneous,False
Гости и праздник → Украшение ёлки и дома к Новому году,Гости и праздник,Украшение ёлки и дома к Новому году,Продуктовые магазины,mega_homogeneous,False
Дети → Творчество дома,Дети,Творчество дома,Игрушки,heuristic,True
Гардероб → Гардероб женщины — базовые футболки и топы,Гардероб,Гардероб женщины — базовые футболки и топы,Одежда для взрослых,heuristic,True
Дети → Подготовка к школе,Дети,Подготовка к школе,Продуктовые магазины,heuristic,True
Дети → Подготовка к детскому саду,Дети,Подготовка к детскому саду,Игрушки,heuristic,True
Срочно нужно сейчас → Мелкий бытовой ремонт,Срочно нужно сейчас,Мелкий бытовой ремонт,Товары для дома,manual_override,False
"Гардероб → Гардероб женщины — низ, обувь, бельё",Гардероб,"Гардероб женщины — низ, обувь, бельё",Одежда для взрослых,manual_override,False
Работа и учеба → Канцелярия закончилась,Работа и учеба,Канцелярия закончилась,Канцтовары,manual_override,False
Спальня → Обустройство спальни,Спальня,Обустройство спальни,Мебель,manual_override,False
Красота → Маникюр дома,Красота,Маникюр дома,Косметика,mega_homogeneous,False
Гардероб → Гардероб мужчины — базовые футболки и сорочки,Гардероб,Гардероб мужчины — базовые футболки и сорочки,Одежда для взрослых,heuristic,True
"Гардероб → Гардероб женщины — платья, костюмы",Гардероб,"Гардероб женщины — платья, костюмы",Одежда для взрослых,heuristic,True
Спорт → Спорт — единоборства и бокс,Спорт,Спорт — единоборства и бокс,Спортивные товары,mega_homogeneous,False
Прихожая → Уход за верхней одеждой и обувью,Прихожая,Уход за верхней одеждой и обувью,Одежда для взрослых,manual_override,False
Спальня → Здоровый сон,Спальня,Здоровый сон,Товары для дома,manual_override,False
Готовлю дома → Смузи и здоровые завтраки — расширено,Готовлю дома,Смузи и здоровые завтраки — расширено,Продуктовые магазины,mega_homogeneous,False
Дом и быт → Ремонт дома / мелкий ремонт,Дом и быт,Ремонт дома / мелкий ремонт,Товары для дома,heuristic,False
Домашний офис → Обустройство рабочего места,Домашний офис,Обустройство рабочего места,Бытовая техника и электроника,manual_override,False
Спорт → Спорт — плавание,Спорт,Спорт — плавание,Спортивные товары,mega_homogeneous,False
Красота → Домашний SPA — расширенный,Красота,Домашний SPA — расширенный,Косметика,mega_homogeneous,False
Гардероб → Аксессуары и головные уборы,Гардероб,Аксессуары и головные уборы,Одежда для взрослых,heuristic,True
Спорт → Спорт — бег,Спорт,Спорт — бег,Спортивные товары,mega_homogeneous,False
Готовлю дома → Хлеб на утро,Готовлю дома,Хлеб на утро,Продуктовые магазины,mega_homogeneous,False
Гардероб → Головные уборы и шапки,Гардероб,Головные уборы и шапки,Одежда для взрослых,heuristic,True
Спорт → Спорт — горные лыжи и сноуборд,Спорт,Спорт — горные лыжи и сноуборд,Спортивные товары,mega_homogeneous,False
Прихожая → Порядок в прихожей,Прихожая,Порядок в прихожей,Товары для дома,manual_override,False
Авто → Автомойка своими руками,Авто,Автомойка своими руками,Автотовары,mega_homogeneous,False
Дача → Бассейн на даче,Дача,Бассейн на даче,Товары для дома,heuristic,True
Спорт → Спорт — футбол,Спорт,Спорт — футбол,Спортивные товары,mega_homogeneous,False
Авто → Уход за салоном авто,Авто,Уход за салоном авто,Автотовары,mega_homogeneous,False
Срочно нужно сейчас → Сломался кабель,Срочно нужно сейчас,Сломался кабель,Бытовая техника и электроника,manual_override,False
Срочно нужно сейчас → Сел телефон,Срочно нужно сейчас,Сел телефон,Товары для дома,heuristic,True
Срочно нужно сейчас → Перегорела лампочка,Срочно нужно сейчас,Перегорела лампочка,Товары для дома,heuristic,True
Дом и быт → Мебель для дома,Дом и быт,Мебель для дома,Товары для дома,heuristic,False
Срочно нужно сейчас → Нужен зонт,Срочно нужно сейчас,Нужен зонт,Товары для дома,heuristic,True
Дача → Работа в саду / огороде,Дача,Работа в саду / огороде,Товары для дома,heuristic,True
Авто → Замена летней/зимней резины,Авто,Замена летней/зимней резины,Автотовары,mega_homogeneous,False
Авто → Долив жидкостей и мелкое ТО,Авто,Долив жидкостей и мелкое ТО,Автотовары,mega_homogeneous,False
Работа и учеба → Книги — деловая литература,Работа и учеба,Книги — деловая литература,Книжные магазины,manual_override,False
Авто → Автоаварийный набор,Авто,Автоаварийный набор,Автотовары,mega_homogeneous,False
Спорт → Спорт — велопрогулка,Спорт,Спорт — велопрогулка,Спортивные товары,mega_homogeneous,False
Дача → Уборка снега / зимние работы,Дача,Уборка снега / зимние работы,Продуктовые магазины,heuristic,True
Дом и быт → Для комфорта и уюта,Дом и быт,Для комфорта и уюта,Товары для дома,heuristic,False
Готовлю дома → Заготовки на зиму,Готовлю дома,Заготовки на зиму,Продуктовые магазины,mega_homogeneous,False
Дача → Оформление сада,Дача,Оформление сада,Товары для дома,heuristic,True
